stop_id,route_type_id
113631,0
64445,0
106314,0
188479,0
10489,0
354775,0
485442,0
116757,0
10784,0
672039,0
508306,0
657244,0
20625,0
597478,0
347966,0
256424,0
413694,0
283729,0
49889,0
422694,0
436795,0
29715,0
364958,0
574785,0
450241,0
534126,0
549239,0
288034,0
425419,0
494619,0
456073,0
403845,0
134356,0
578265,0
481712,0
451584,0
480647,0
468351,0
660312,0
352919,0
337033,0
241368,0
306732,0
628273,0
658550,0
69636,0
395256,0
220235,0
429689,0
303633,0
102959,0
242467,0
133413,0
292472,0
616055,0
528875,0
668310,0
370293,0
449856,0
499920,0
468712,0
419523,0
431112,0
263637,0
496715,0
307364,0
103060,0
522610,0
234528,0
352617,0
324742,0
236385,0
127242,0
542267,0
57972,0
217976,0
285355,0
303018,0
622804,0
609164,0
320380,0
571107,0
294874,0
274349,0
609427,0
360557,0
559613,0
261976,0
623634,0
611696,0
92621,0
140451,0
255829,0
363678,0
334919,0
6467,0
82275,0
366696,0
283459,0
123981,0
224531,0
519923,0
444268,0
100266,0
451382,0
188631,0
358973,0
597169,0
288913,0
350501,0
501716,0
461747,0
261755,0
524617,0
205590,0
280739,0
179673,0
258662,0
79747,0
90384,0
408360,0
388700,0
90148,0
74376,0
84221,0
586881,0
74590,0
430117,0
303269,0
643000,0
208006,0
101219,0
868,0
312766,0
373728,0
460395,0
226880,0
574012,0
146815,0
204224,0
403204,0
31409,0
481884,0
598282,0
596253,0
310686,0
119248,0
537834,0
398409,0
670951,0
327441,0
399331,0
497782,0
500226,0
319017,0
430777,0
158073,0
34125,0
457669,0
266341,0
435492,0
432175,0
271342,0
394883,0
472912,0
54135,0
646757,0
227863,0
414436,0
305591,0
679230,0
314375,0
524844,0
159761,0
69556,0
165765,0
195559,0
468035,0
285583,0
388144,0
453318,0
598081,0
483311,0
881,0
378834,0
545670,0
248843,0
115726,0
628112,0
490448,0
283395,0
408470,0
167313,0
663788,0
79131,0
272262,0
124747,0
77955,0
45236,0
269205,0
423586,0
513814,0
226020,0
396414,0
681076,0
498701,0
640167,0
676666,0
356232,0
400339,0
416543,0
183602,0
352546,0
333013,0
437158,0
573272,0
27989,0
443826,0
344987,0
511220,0
260154,0
409982,0
559294,0
437452,0
490942,0
437381,0
354016,0
45512,0
649617,0
181812,0
417154,0
668486,0
652363,0
624786,0
568061,0
83442,0
545233,0
202685,0
246675,0
295741,0
119436,0
618679,0
504924,0
538594,0
